id_etl,nombre_fuente_oficial,categoria,tipo_conexion,formato_origen,frecuencia_actualizacion,total_registros,cobertura_temporal,claves_primarias_identificadores,campos_principales_extraidos,entidades_relacionadas,estado_integridad,cruces_activos_web,cruces_potenciales_nuevos
etl_cplt_transparencia_activa,Consejo para la Transparencia (CPLT) - Transparencia Activa,Personal y Remuneraciones,Portal Datos Abiertos / Microdatos CSV,CSV / JSON Proyecciones,Mensual Día 5 05:00 CLT (0 9 5 * *),1203287,2026-01 a 2026-07,"RUT_FUNCIONARIO, NOMBRE_COMPLETO, ORGANISMO_ID, PERIODO","nombre_completo, rut, estamento, cargo, grado_eus, tipo_contrato, remuneracion_bruta_mensual, remuneracion_liquida_mensual, horas_extras_mes_anterior, monto_horas_extras_clp, fecha_ingreso, formacion","Personas (Funcionarios), Organismos Públicos, Municipalidades",100% Validado (Escala EUS y montos consistentes),"Ficha Municipal (/municipalidades/[id]), Ficha Servicios Públicos (/servicios-publicos/[id]), Buscador Global (/funcionarios)",Cruce con Declaraciones de Intereses (InfoProbidad) para detectar parentesco; Cruce con Proveedores de Compras Públicas (ChileCompra) para detectar conflictos de interés en licitaciones
etl_dipres_presupuestos,Dirección de Presupuestos (DIPRES) - Ley de Presupuestos,Finanzas Públicas y Presupuesto Nacional,Datos Abiertos DIPRES / Web API,JSON / CSV,Trimestral Día 1 Ene/Abr/Jul/Oct 05:00 CLT (0 9 1 1,4,7,10 *),476,Ley de Presupuestos 2026,"PARTIDA, CAPITULO, PROGRAMA (PCP)","partida_id, partida_nombre, capitulo_id, capitulo_nombre, programa_id, programa_nombre, inicial_clp, vigente_clp, devengado_clp, pct_ejecucion, subtitulos_gasto","Ministerios, Subsecretarías, Servicios Públicos, Gobiernos Regionales",100% Validado (Cifras de Ley oficiales),"Ficha de Servicios Públicos (/servicios-publicos/[id]), Comparador Presupuestario",Cruce automático entre Partida/Capítulo y Masa Salarial CPLT para calcular el % del presupuesto ministerial destinado a sueldos y honorarios
etl_ley_19862_transferencias,Registro Central de Colaboradores del Estado (Ley 19.862),Transferencias del Estado / Fondos Públicos,Portal registros19862.gob.cl / Datos Abiertos,JSON L-Lake / JSON Resumen,Mensual Día 8 05:00 CLT (0 9 8 * *),361101,2023 - 2026,"RUT_RECEPTOR, NUMERO_RESOLUCION, ORGANISMO_EMISOR","monto_clp, fecha, materia_concurso, organismo_emisor, receptor_nombre, receptor_rut, imputacion_presupuestaria, region","Fundaciones, Corporaciones, ONGs, Universidades, Organismos del Estado","100% Validado ($17,68 Billones CLP catalogados)","Dashboard Nacional de Transferencias (/transferencias), Top Receptores y Top Emisores",Cruce de Directores de Fundaciones con Nóminas del Estado (CPLT) y Personas Expuestas Políticamente (SERVEL / Parlamentarios) para alertar subsidios cruzados
etl_chilecompra_ocds,ChileCompra / MercadoPúblico (Estándar OCDS),Contratación Pública y Licitaciones,API Abierta OCDS (Open Contracting Data Standard),JSON OCDS,Semanal Lunes 04:00 CLT (0 8 * * 1),35979,2024 - 2026,"OCID, RUT_COMPRADOR, RUT_PROVEEDOR","ocid, title, buyer_id, buyer_name, supplier_id, supplier_name, monto_total_clp, fecha_adjudicacion, link_licitacion, tipo_proceso","Servicios Públicos, Municipalidades, Proveedores del Estado (Empresas/Personas)",100% Validado (Estándar internacional),"Ficha Comunal (/municipalidades/[id]), Ficha de Servicios Públicos (/servicios-publicos/[id])",Cruce de Proveedores Adjudicados con Socios/Directores declarados en InfoProbidad por alcaldes y jefes de compras para detección de tratos directos anómalos
etl_infolobby,Plataforma InfoLobby (Ley 20.730 de Lobby),Transparencia e Influencia Pública,Portal Datos Abiertos CPLT InfoLobby,JSON Proyección,Semanal Lunes 04:30 CLT (30 8 * * 1),60338,2024 - 2026,"ID_AUDIENCIA, SUJETO_PASIVO_RUT, GESTOR_RUT","id, sujeto_pasivo_nombre, sujeto_pasivo_cargo, institucion, gestores_interes, lobbistas, materias, fecha, lugar, forma, tipo_audiencia","Autoridades Públicas, Parlamentarios, Alcaldes, Empresas Lobbistas, Gestores de Interés",100% Validado,"Ficha Parlamentaria (/politico/[id]), Ficha Servicios Públicos (/servicios-publicos/[id])",Cruce temporal entre Audiencias de Lobby de empresas y Fechas de Adjudicación de Licitaciones de ChileCompra con el mismo organismo
etl_infoprobidad,InfoProbidad (Declaraciones de Intereses y Patrimonio DIP - Ley 20.880),Probidad y Declaraciones Patrimoniales,Web Service CPLT / Contraloría,JSON Proyección,Mensual Día 10 05:00 CLT (0 9 10 * *),14043,Periodo Vigente 2024 - 2026,"ID_DECLARACION, DECLARANTE_RUT, INSTITUCION","declarante_nombre, declarante_rut, cargo, institucion, tipo_declaracion, fecha_declaracion, url_cplt, estado_vigencia, bienes_inmuebles, pasivos, actividades","Políticos, Parlamentarios, Ministros, Alcaldes, Directores de Servicio",100% Validado,"Ficha Parlamentaria (/politico/[id]), Ficha Comunal (/municipalidades/[id])",Cruce de Sociedades y Empresas declaradas por autoridades con el Registro de Proveedores de ChileCompra y Registro de Receptores de Transferencias (Ley 19.862)
etl_subdere_sinim,Sistema Nacional de Información Municipal (SINIM - SUBDERE),Finanzas y Gestión Municipal,Web Service SUBDERE / Datos Municipales,JSON Proyección,Semestral Día 1 Mar/Sep 05:00 CLT (0 9 1 3,9 *),345,2025 - 2026,CODIGO_UNICO_TERRITORIAL (CUT),"cut, nombre_municipio, presupuesto_inicial_clp, presupuesto_vigente_clp, ingresos_totales_clp, fondo_comun_municipal_ingresos, fondo_comun_municipal_aportes, gasto_personal_clp, total_funcionarios_sinim",Municipalidades de Chile (346 Comunas),100% Validado (345 comunas con balance oficial),"Ficha Municipal (/municipalidades/[id]), Directorio Municipal (/municipalidades)",Cálculo de Índice de Dependencia Financiera FCM y Cruce con Masa Salarial CPLT para auditar qué municipios gastan más del 40% de sus ingresos propios en personal
etl_contraloria_cgr,Contraloría General de la República (Informes de Auditoría SIAPER),Fiscalización y Auditoría del Estado,Portal CGR / Dictámenes y Auditorías,JSON Proyección,Mensual Día 2 05:00 CLT (0 9 2 * *),275,2024 - 2026,"ID_INFORME, NUMERO_INFORME, ORGANISMO_COMUNA","id, titulo, fecha, tipo_auditoria, area, organismo, comuna, resumen_irregularidad, url_oficial_cgr","Municipalidades, Servicios Públicos, Ministerios, Corporaciones Municipales",100% Validado,"Ficha Municipal (/municipalidades/[id]), Ficha de Servicios Públicos (/servicios-publicos/[id])",Cruces con Sumarios de Horas Extras de CPLT y con Transferencias de Ley 19.862 cuestionadas en auditorías especiales de la Contraloría
etl_camara_diputados,Cámara de Diputadas y Diputados de Chile (API Oficial),Poder Legislativo,API XML / JSON OpenData Cámara,JSON Partición,Diario 03:00 CLT (0 7 * * *),12.111,Periodo Legislativo 2022 - 2026,"ID_DIPUTADO, NUMERO_SESION, NUMERO_BOLETIN","diputado_id, diputado_nombre, sesion_id, boletin, voto (A favor, En contra, Abstención, Pareo), fecha, asistencia, gastos_operacionales_mensuales","Diputados, Partidos Políticos, Comisiones Parlamentarias",100% Validado,"Ficha Parlamentaria (/politico/[id]), Votaciones de Sala, Asistencia y Gastos","Cruce de votaciones clave (ej. Ley de Presupuesto, Reformas Tributarias) con el origen de transferencias y gasto fiscal"
etl_senado_republica,Senado de la República de Chile (API Oficial),Poder Legislativo,API OpenData Senado,JSON Partición,Diario 03:00 CLT (0 7 * * *),1.428,Periodo Legislativo 2022 - 2026,"ID_SENADOR, NUMERO_SESION, NUMERO_BOLETIN","senador_id, senador_nombre, sesion_id, boletin, voto, fecha, asistencia, gastos_operacionales_mensuales","Senadores, Partidos Políticos, Comisiones del Senado",100% Validado,"Ficha Parlamentaria (/politico/[id]), Votaciones de Sala, Asistencia y Gastos",Cruce de votaciones en Sala del Senado con audiencias de lobby registradas en InfoLobby sobre el mismo proyecto de ley
